what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1347694800054
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1347694800431
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347694806159
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347694813498
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347694829587
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347694837253
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347694841622
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347694845937
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347694851594
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1347694853043
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347694855149
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347694863549
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347694869541
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347694874484
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1347694874543
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347694874785
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347694874874
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1347694876297
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347694877603
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347694881958
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347694883087
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1347694883408
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347694884223
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347694907737
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347694915369
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347694920595
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347694920719
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347694925432
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1347694927303
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1347694927535
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1347694931703
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1347694931921
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1347694937479
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1347694937683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347694939347
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347694939549
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1347694941536
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1347694941573
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347694941936
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347694942292
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1347694959233
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1347694959912
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347694959944
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347694960947
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1347694961675
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1347694961843
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1347694961986
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347694962016
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347694962990
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1347694964059
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1347694964209
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1347694964321
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347694964355
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347694965220
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1347694966094
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1347694966314
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1347694966451
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347694966477
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347694967466
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1347694969030
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347694971427
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1347694971757
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347694976152
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347694977718
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1347694977785
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347694977874
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1347694978715
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347694983429
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1347694984375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347694985594
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347694985644
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347694986049
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347694986124
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347694988604
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347694989167
